,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,29,6.453999996,6.566873973,6.34112602,0.872001946,0.54023999,0.077223279,2.893891096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,30,6.452000141,6.557130716,6.346869566,1.233748436,0.706156135,0.070983924,2.307199955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,31,6.441999912,6.515767802,6.368232022,1.430923462,0.844465852,0.172502428,2.005954742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,32,6.423999786,6.509116856,6.338882717,1.127868772,0.647239029,0.031612735,2.039508343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,33,6.421999931,6.494596022,6.349403841,1.433626533,0.793984234,0.063829236,2.126607418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,34,6.402999878,6.471054845,6.334944911,1.384397864,0.8889606,0.070914097,1.92775774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,35,6.375,6.568476814,6.181523186,1.870765686,0.710098088,0.439299256,1.14546442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,36,6.356999874,6.452020054,6.261979694,1.070622325,0.595027924,0.046668742,2.616068125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,37,6.343999863,6.444166612,6.243833113,1.530623555,0.59014833,0.273432255,2.065429688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,38,6.168000221,6.381533891,5.954466552,1.361355901,0.519983292,0.008964816,2.053247452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,39,6.105000019,6.191956989,6.018043049,1.632952452,0.632105708,0.21515955,1.640425205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,40,6.09800005,6.177348412,6.018651687,1.325393558,0.712732911,0.024210852,2.097776651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,41,6.086999893,6.178989068,5.995010719,1.488412261,0.653133035,0.25704217,1.656149387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,42,6.084000111,6.179979637,5.988020585,1.29121542,0.618784428,0.065600708,2.004448891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,43,6.071000099,6.1865836,5.955416598,0.737299204,0.653095961,0.130687982,2.513930559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,44,6.007999897,6.105847675,5.910152119,1.000820398,0.685636222,0.140134647,2.290352583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,45,6.002999783,6.108635122,5.897364443,0.909784496,0.596018553,0.08998096,2.714593887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,46,5.97300005,6.053908341,5.892091758,1.291787863,0.699475348,0.059307806,1.797722816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,47,5.971000195,6.065537573,5.876462816,0.786441088,0.498272628,0.246528223,1.816913605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,48,5.964000225,6.042736906,5.885263544,1.395066619,0.853144348,0.028028091,1.813312054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,49,5.962999821,6.030274907,5.895724734,1.281778097,0.547349334,0.032962881,2.205607414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,50,5.955999851,6.197242318,5.714757385,0.907975316,0.450191766,0.096581072,2.631955624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,51,5.920000076,5.990719445,5.849280708,1.416915178,0.913475871,0.163760737,1.363223553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,52,5.90199995,5.982669641,5.821330259,1.314582348,0.62894994,0.011865643,2.228440523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,53,5.872000217,5.978286434,5.765714001,1.091864467,0.617584646,0.14609611,2.567603827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,54,5.849999905,5.920263538,5.779736271,1.260748625,0.638566971,0.073842727,1.993655205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,55,5.837999821,5.922559028,5.753440613,1.401678443,0.900214076,0.063282669,1.880378008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,56,5.837999821,5.908370838,5.767628803,0.72887063,0.589465201,0.010091286,2.807808399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,57,5.824999809,5.919694157,5.730305462,1.217683911,0.685158312,0.004387901,2.176831484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,58,5.822999954,5.903976903,5.742023006,0.833756566,0.47363025,0.060477726,2.443279028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,59,5.822000027,5.885180876,5.758819178,1.130776763,0.43772608,0.25927034,1.832909822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,60,5.818999767,5.903641775,5.73435776,1.28455627,0.606041551,0.119282886,1.784892559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,61,5.809999943,5.897366465,5.722633421,1.346911311,0.834647238,0.155353352,1.549157619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,62,5.757999897,5.84222516,5.673774634,1.341205955,0.790828228,0.045128979,1.313317299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,63,5.715000153,5.811946779,5.618053527,1.035225272,0.630166113,0.047049087,2.20726943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,64,5.629000187,5.729862192,5.528138182,1.189395547,0.638007462,0.042181555,1.697583914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,65,5.620999813,5.714692699,5.527306927,1.355938077,0.844714701,0.041237976,1.621249199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,66,5.611000061,5.688139874,5.533860248,1.32087934,0.695168316,0.183248922,1.357508659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,67,5.568999767,5.646114244,5.491885291,1.15655756,0.637714267,0.156313822,1.723232985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,68,5.525000095,5.676953807,5.373046384,1.101803064,0.52016902,0.09261021,1.835011244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,69,5.5,5.594864963,5.405135037,1.198274374,0.637605608,0.09967158,1.879277945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,70,5.493000031,5.57738127,5.408618791,0.932537317,0.579250693,0.091065913,1.68533349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,71,5.472000122,5.549594173,5.394406071,1.551674843,0.943062425,0.293933749,0.554633141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,72,5.429999828,5.545335054,5.314664602,0.857699215,0.468009055,0.099331893,1.972604752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,73,5.394999981,5.491569656,5.298430306,1.069317579,0.650784671,0.040903781,1.947084427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,74,5.335999966,5.448410022,5.223589909,0.991012394,0.604590058,0.119803272,1.791176558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,75,5.323999882,5.403039709,5.244960054,1.286011934,0.687763453,0.036636937,1.716459274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,76,5.31099987,5.581398728,5.040601012,0.925579309,0.641022384,0.055267781,1.612325668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,77,5.293000221,5.391777205,5.194223238,1.222556233,0.701288521,0.04310311,1.854492426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,78,5.278999805,5.364847995,5.193151615,0.951484382,0.54145205,0.057471618,2.010540724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,79,5.272999763,5.31927809,5.226721437,1.081165791,0.741415501,0.022794275,1.764938593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,80,5.269000053,5.359983641,5.178016465,0.726883531,0.402047783,0.124348067,2.79248929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,81,5.262000084,5.352888598,5.17111157,0.995538592,0.492345721,0.015317135,1.429476976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,82,5.25,5.370031946,5.129968054,1.128431201,0.617144227,0.064491123,1.789463758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,83,5.236999989,5.341044441,5.132955537,1.121129036,0.667464674,0.088174194,1.729191542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,84,5.235000134,5.318340965,5.151659302,0.878114581,0.597710669,0.087763183,2.456189394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,85,5.234000206,5.299286535,5.168713877,1.153601766,0.540775776,0.180987507,1.762481689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,86,5.230000019,5.349060885,5.110939153,1.079373837,0.574873745,0.113945253,1.31946516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,87,5.227000237,5.325246169,5.128754304,1.289487481,0.810198903,0.043289777,1.749221563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,88,5.224999905,5.318882288,5.131117521,1.074987531,0.735081077,0.03751383,1.695073843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,89,5.195000172,5.285041733,5.10495861,1.315175295,0.795843542,0.015869452,1.107682705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,90,5.18200016,5.276335687,5.087664634,0.982409418,0.705186307,0,1.892172575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,91,5.181000233,5.301582797,5.060417669,0.730573118,0.58256948,0.073345453,2.065811157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,92,5.175000191,5.27217264,5.077827742,1.064577937,0.644948184,0.060277794,1.617469311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,93,5.151000023,5.24248371,5.059516336,0.022643184,0.113989137,0.282410324,3.11748457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,94,5.073999882,5.147280765,5.000718999,0.788547575,0.652168989,0.087633237,1.462318659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,95,5.073999882,5.209500135,4.938499628,0.783756256,0.05691573,0.026121566,2.365390539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,96,5.040999889,5.111425596,4.970574183,0.524713635,0.529235125,0.146377146,1.84904933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,97,5.011000156,5.079334562,4.942665751,0.885416389,0.495879292,0.17338039,1.140184402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,98,5.004000187,5.089919903,4.918080471,0.596220076,0.553457797,0.039439179,1.536723137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,99,4.961999893,5.067356079,4.856643707,0.479820192,0.504130781,0.072975546,1.891241074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,100,4.954999924,5.021679509,4.888320338,1.027235866,0.557783484,0.032902289,1.111292362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,101,4.828999996,4.929435188,4.728564805,1.054698706,0.18708007,0.072509497,1.510908604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,102,4.804999828,4.884367007,4.72563265,1.007265806,0.613212049,0.086723149,1.89025116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,103,4.775000095,4.881848343,4.668151848,0.716249228,0.565666974,0.089282602,1.878890276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,104,4.735000134,4.82513379,4.644866477,0.989701807,0.520187259,0.114381365,1.702161074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,105,4.714000225,4.803694706,4.624305744,1.161459088,0.70821768,0.011051531,0.996139288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,106,4.709000111,4.850643335,4.567356886,0.368420929,0.005564754,0.071095176,2.668459892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,107,4.695000172,4.796540857,4.593459486,0.564305365,0.132892117,0.051306631,2.333645582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,108,4.691999912,4.798224708,4.585775117,1.156873107,0.639333189,0.048761073,1.498734951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,109,4.644000053,4.752464006,4.5355361,0.996192753,0.731159747,0.039864216,1.490441561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,110,4.607999802,4.689821658,4.526177945,0.586682975,0.533241034,0.123717859,1.978736162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,4.573999882,4.770354741,4.377645023,0.964434326,0.338611811,0.093146972,1.481890202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,112,4.552999973,4.655691591,4.450308356,0.560479462,0.30998835,0.064641319,1.651902199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,113,4.550000191,4.774102326,4.325898055,0.23430565,0.106654435,0.179436386,2.355650902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,114,4.545000076,4.614739946,4.475260206,0.36711055,0.397522569,0.188816205,1.115290403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,115,4.534999847,4.601603781,4.468395914,0.479309022,0.409362853,0.115460448,1.789646149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,116,4.513999939,4.644105501,4.383894376,0.636406779,0.257835895,0.07821355,1.826705456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,117,4.497000217,4.62259141,4.371409025,1.102710485,0.50118047,0.107215755,1.318907261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,118,4.465000153,4.557361766,4.37263854,1.198210239,0.356578588,0.076046787,1.322916269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,119,4.460000038,4.542728677,4.3772714,0.339233845,0.353409708,0.165455714,2.015743732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,120,4.440000057,4.553447192,4.326552922,1.009850144,0.625130832,0.073653966,0.419389248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,121,4.375999928,4.466734612,4.285265243,0.900596738,0.637524426,0.026674422,1.521499157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,122,4.315000057,4.371522017,4.258478097,0.792221248,0.455427617,0.092226885,1.519117117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,123,4.291999817,4.377163616,4.206836018,0.648457289,0.28534928,0.136957005,1.651637316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,124,4.290999889,4.410053505,4.171946274,0.808964252,0.289957434,0.079618134,1.724135637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,125,4.285999775,4.374933966,4.197065584,0.950612664,0.649546981,0.251666635,1.500137806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,126,4.28000021,4.357810833,4.202189587,0.092102349,0.191407025,0.060241356,2.224958658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,127,4.190000057,4.269670711,4.110329403,0.476180494,0.169365674,0.104970247,1.668190956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128,4.179999828,4.275182563,4.084817093,0.603048921,0.04864217,0.130061775,1.844964266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,129,4.168000221,4.278517814,4.057482629,0.601765096,0.429783404,0.068105951,1.042941093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,130,4.138999939,4.345747165,3.932252713,0.659516692,0.290920824,0.08984752,1.68706584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,131,4.119999886,4.222707209,4.017292563,0.667224824,0.295637727,0.02533637,1.577867508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,132,4.096000195,4.185410105,4.006590285,0.894651949,0.575903952,0.023029471,0.814382315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,133,4.080999851,4.195799967,3.966199735,0.381430715,0.217632607,0.057069719,1.526362658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,134,4.032000065,4.124059064,3.939941065,0.350227714,0.215844259,0.120328106,1.727212906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,135,4.027999878,4.11194682,3.944052936,0.161925331,0.268505007,0.138572946,1.873983383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,136,3.970000029,4.077478817,3.86252124,0.233442038,0.315089583,0.072711654,2.081786156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,137,3.936000109,4.034711524,3.837288693,0.438012987,0.041134715,0.053581882,2.071238041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,138,3.875,3.978699643,3.771300357,0.375846535,0.196763754,0.095375381,1.597970247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,139,3.808000088,4.044343975,3.5716562,0.521021247,0,0.11909464,1.42983532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,140,3.795000076,3.951641935,3.638358217,0.85842818,0.049868666,0.069720335,1.614482403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,141,3.79399991,3.873661415,3.714338405,0.401477218,0.180746779,0.06115783,2.150801182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,142,3.766000032,3.874122666,3.657877399,1.122094154,0.341755509,0.098583199,0.377913713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,143,3.657000065,3.745783551,3.568216578,0.431085408,0.209930211,0.060929015,1.885630965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,144,3.644000053,3.714319106,3.573681001,0.305808693,0.375223309,0.067231975,1.584612608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,145,3.602999926,3.734714798,3.471285053,0.368610263,0.27732113,0.09987215,1.697167635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,146,3.592999935,3.69275032,3.49324955,0.591683447,0.310080916,0.056767423,1.345600605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,147,3.59100008,3.725538586,3.456461574,0.397248626,0.163486004,0.116793513,1.879567385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,148,3.532999992,3.653756261,3.412243724,0.119041793,0.229918197,0.038948249,1.673285961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,149,3.506999969,3.584428129,3.42957181,0.24454993,0.194129139,0.110937618,1.552311897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,150,3.494999886,3.594038112,3.395961659,0.305444717,0.247105569,0.095665015,1.837229252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,151,3.470999956,3.543030234,3.398969679,0.368745893,0.326424807,0.455220014,0.540061235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,152,3.461999893,3.663668557,3.26033123,0.777153134,0.500533342,0.151347131,1.061573505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,153,3.348999977,3.461429755,3.236570199,0.511135876,0.364509284,0.066035107,0.621130466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,154,2.904999971,3.074690333,2.73530961,0.091622569,0.151610792,0.084147945,1.683024168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,155,2.693000078,2.864884269,2.521115887,0,0.018772686,0.056565076,2.066004753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,Finland,7.632,1.305,1.592,0.874,0.681,0.393,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2,Norway,7.594,1.456,1.582,0.861,0.686,0.34,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,Denmark,7.555,1.351,1.59,0.868,0.683,0.408,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4,Iceland,7.495,1.343,1.644,0.914,0.677,0.138,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5,Switzerland,7.487,1.42,1.549,0.927,0.66,0.357,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.295,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7,Canada,7.328,1.33,1.532,0.896,0.653,0.291,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.389,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9,Sweden,7.314,1.355,1.501,0.913,0.659,0.383,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,Australia,7.272,1.34,1.573,0.91,0.647,0.302,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.082,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12,Austria,7.139,1.341,1.504,0.891,0.617,0.224,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.101,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,Ireland,6.977,1.448,1.583,0.876,0.614,0.306,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,Germany,6.965,1.34,1.474,0.861,0.586,0.28,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,Belgium,6.927,1.324,1.483,0.894,0.583,0.24,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.321,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,United States,6.886,1.398,1.471,0.819,0.547,0.133,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19,Israel,6.814,1.301,1.559,0.883,0.533,0.272,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,20,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,21,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.034,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,22,Malta,6.627,1.27,1.525,0.884,0.645,0.142,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,23,France,6.489,1.293,1.466,0.908,0.52,0.176,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,24,Mexico,6.488,1.038,1.252,0.761,0.479,0.095,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,25,Chile,6.476,1.131,1.331,0.808,0.431,0.061,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,26,Taiwan,6.441,1.365,1.436,0.857,0.418,0.078,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,27,Panama,6.43,1.112,1.438,0.759,0.597,0.063,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,28,Brazil,6.419,0.986,1.474,0.675,0.493,0.088,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,29,Argentina,6.388,1.073,1.468,0.744,0.57,0.054,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,30,Guatemala,6.382,0.781,1.268,0.608,0.604,0.071,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,31,Uruguay,6.379,1.093,1.459,0.771,0.625,0.155,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,Qatar,6.374,1.649,1.303,0.748,0.654,0.171,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.127,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,34,Singapore,6.343,1.529,1.451,1.008,0.631,0.457,,,,,,,,,,,,,,,,,,,,,
